headline,is_sarcastic
█████ fires █████ as █████ for failing to ██████████,1
fuel protests cause transport chaos in ireland as iran war spikes prices,0
137-year-old piece of eiffel tower to be auctioned in paris,0
elon musk downgrades empty mars colony pledge to empty lunar colony pledge,1
"carney uninvited to join trump’s ‘board of peace’ alongside putin, netanyahu, lex luthor, megatron",1
god issues urgent recall on ‘humanity’,1
"after a whirlwind mission to the moon, astronauts are back home. here's what's next",0
the future of addictive design + going deep at deepmind + hatgpt,0
airlines cut flights and hike fares as fuel prices surge,0
donald trump threatens more sweary words if iran doesn’t do what he wants,1
hs2 to save money by replacing trains with handcars,1
trump threatens more attacks on nigeria unless their prince returns his money,1
iran demands release of ‘blocked assets’ before peace talks,0
carney puts rules-based international order sign back in window,1
furious trump demands to know why minneapolis shooting hasn’t sparked civil war yet,1
trump releases epstein files to distract from iran,1
the £5.30 orange juice that tells the story of why supermarket prices are sky high,0
artemis ii: return to the moon,0
nhs to offer second dose of menb vaccine after kent outbreak,0
back to earth: what happens to the artemis ii astronauts now?,0
world mourns simpler time when internet was just chuck norris memes,1
prosecutor probes abuse claims against california governor candidate swalwell,0
"amid trump’s threats, nato labors to survive the iran war",0
"in new war with israel, hezbollah defies notion that it was crippled",0
confused trump claims saddam hussein building weapons of mass destruction,1
the big bang: a.i. has created a code overload,0
"‘don’t think of the uk as unwilling to join your war, think of it as having bone spurs’ starmer tells trump",1
ben mulroney warns his audience about a rise in car theft by playing a clip from grand theft auto,1
"watch the artemis ii re-entry: separation, blackout, then splashdown",0
soaring pump prices drive us inflation to highest level in almost two years,0
six-year-old who called 999 to save mum hailed a hero,0
"good? i’ve had better fridays, insists jesus",1
another misstep: the doj has added a dating section to the epstein files where the people implicated in them can flirt with each other,1
woman spends more time curating playlist than filing taxes,1
tv for dogs booms but are they watching?,0
report: mark carney calls canadian men’s hockey locker room to offer consolation rrsp advice,1
uk house prices fall as iran war uncertainty dampens demand,0
colombia's budding tech scene needs a cash boost,0
the five big sticking points in us-iran talks,0
"how lu xun, a famous chinese writer, became a cute communist mascot",0
emboldened mark carney delivers encore wef speech about tfsa planning,1
melania trump: 'i never had a relationship with epstein',0
"justin trudeau offers tips on political dynasties to iran’s newly-chosen supreme leader, mojtaba khamenei",1
canada invokes nato article 5 against sweden following olympic curling conflict,1
evil spirit inside olympic stuffed animal now controls nathan mackinnon’s mortal soul,1
"we can't all be astronauts, but the artemis ii crew has fitness lessons for everyone",0
"us completely fucks international relations, oil markets and global economy in order to replace ayatollah khamenei with ayatollah khamenei",1
airport security lineups in us vastly reduced after ice agents kidnap most travellers,1
trump gifts staffers dress shoes with extra room for bone spurs,1
googling ‘did it happen’ now part of woman’s daily morning routine,1
"meta unveils new a.i. model, its first from the superintelligence lab",0
kim jong un wins 2026 north korean parliamentary election with 156% of the vote,1
"islamabad, pakistan’s quiet capital, steps into the diplomatic spotlight.",0
norwich city gain millions more fans after nigel farage seen with ipswich town shirt,1
the global story,0
f.a.a. says military can use anti-drone lasers in u.s. airspace,0
how finnish supermarkets are central to the country's defence,0
artemis ii splashdown gives nasa momentum in renewed moon race,0
new evidence further implicates u.s. missiles in strikes that killed 21 civilians in iran,0
