headline,is_sarcastic
kamala harris 'thinking about' losing again in 2028,1
biden announces he will continue serving as president in event of his death,1
cnn purchases industrial-sized washing machine to spin news before publication,1
trump awards presidential medal of freedom to trump,1
aoc unveils new green new deal that will ban everything fun,1
babylon bee writers forced to take week off as reality too absurd to parody,1
man who has read entire bible somehow still worst person in office,1
nation's last sane person requests transfer to different nation,1
local man certain he could fix economy if given 15 minutes and a whiteboard,1
area congressman introduces bill he definitely read,1
new study finds 100% of studies sponsored by companies that benefit from study results,1
man who just discovered politics very concerned you haven't heard his takes yet,1
senator assures constituents he will get to their concerns right after his 14th fundraiser this week,1
nation's pundits declare this the most important election of our lifetime for 8th consecutive election,1
man confidently misquotes founding fathers to win facebook argument,1
cnn breaking news alert: something happened somewhere involving someone,1
politician who caused problem now heroically offering to fix problem,1
area man's political views happen to align perfectly with his own self-interest,1
new poll finds americans want politicians to work together except on anything they personally disagree with,1
government announces new program to study why previous government programs didn't work,1
local man's 3am tweet solves problem experts have struggled with for decades,1
congress takes bold action by forming committee to discuss forming another committee,1
man who hasn't read bill very passionate about bill,1
nation somehow surprised that guy who lied about everything else also lied about this,1
"media discovers nuance, immediately loses it again",1
politician spotted reading constitution for first time,1
area voter shocked to learn candidate was politician all along,1
new bipartisan bill unites both parties in agreeing it won't pass,1
man who gets all news from memes very confident in his geopolitical analysis,1
government efficiency task force adds 200 new employees to study inefficiency,1
senator explains he can't comment on corruption investigation due to ongoing corruption,1
nation's op-ed writers declare current moment unprecedented for 400th consecutive week,1
local man's hot take on complex issue ready just 4 minutes after hearing about it,1
politician promises to drain swamp immediately after attending swamp fundraiser,1
breaking: man who was wrong about everything last year back with new predictions,1
area think tank releases report confirming what think tank already believed,1
congressman introduces legislation he will immediately forget about,1
nation's cable news hosts agree: the other cable news hosts are the real problem,1
man who has never run a business explains why all businesses are doing it wrong,1
new government report finds government needs more funding to study why it needs more funding,1
local pastor assures congregation god is on their side specifically,1
area man's constitutional rights end exactly where his inconvenience begins,1
politician who voted for war very moved by memorial day ceremony,1
"nation's most confident people also nation's least informed people, study finds",1
man who just learned word 'gaslighting' now sees it everywhere,1
breaking: expert who predicted last 0 of 10 recessions back with new recession prediction,1
area woman's social media post about kindness gets 200 mean comments,1
politician's memoir reveals he was the hero of every story he was in,1
new app lets users feel outraged about things they don't fully understand faster than ever,1
man who demands government stay out of his life also demands government fix everything,1
nation's most powerful people very concerned about threat posed by nation's least powerful people,1
